company_name,founder_name,role,has_phd,has_masters,has_elite_education,is_ex_google,is_ex_meta,is_ex_apple,is_academic_background,is_serial_founder,bio
Runway,Cristóbal Valenzuela,Co-founder & CEO,False,False,True,False,False,False,True,False,"Chilean artist, researcher, and entrepreneur. Graduate of NYU's Interactive Telecommunications Program (ITP). Previously a researcher at NYU. Named to TIME100 Most Influential People in AI (2023) and Forbes 30 Under 30 - Art & Style (2020). Background in art and technology."
Runway,Anastasis Germanidis,Co-founder & CTO,False,False,True,False,False,False,True,False,"Greek AI researcher, software engineer, and artist. Graduate of NYU's ITP program. Previously worked at Quantcast, Chartbeat, Zocdoc, and IBM Research as Machine Learning Researcher in Computer Vision. Expert in video generation models, multimodal AI, and deep learning."
Runway,Alejandro Matamala,Co-founder & Chief Design Officer,False,False,True,False,False,False,False,False,"Chilean designer and creative technologist. Graduate of NYU's ITP program. Background in design, film, and advertising. Previously worked in creative technology and design. Led Runway's design vision and user experience."
Synthesia,Victor Riparbelli,CEO & Co-founder,False,False,True,False,False,False,True,True,"Danish entrepreneur. BSc in Computer Science and Business Informatics from IT-Universitetet i København, studied at Stanford University (2015). Previously founded RBLI (digital strategy consultancy), worked at Founders startup studio, and launched Immersive Futures (VR/AR consultancy). Also co-founded Coincall (crypto portfolio platform, sold 2019)."
Synthesia,Steffen Tjerrild,CFO & COO & Co-founder,False,True,False,False,False,False,False,True,Danish executive. Master's in Applied Economics & Finance from Copenhagen Business School. Previously worked in sales and moved into startup world. Co-founded Synthesia with Victor Riparbelli in 2017.
MiniMax,Yan Junjie,Founder & CEO,False,False,False,False,False,False,True,True,"36-year-old Chinese AI researcher and entrepreneur. Former researcher at SenseTime. Founded MiniMax in December 2021 with a vision for multimodal AGI. Led company's B2C-first approach and bet on multimodality from day one. Described as 'gentle,' 'Buddhist,' and 'low-key' but orchestrated one of the fiercest AI IPOs in history with 109% debut."
MiniMax,Yun Yeyi,Co-founder & Director,False,False,False,False,False,False,False,False,Former director of innovative business at SenseTime. Operational discipline leader with global orientation. Attended Johns Hopkins and Columbia Universities. Four years of experience in the US.
MiniMax,Yang Bin,Co-founder,False,False,False,False,False,False,False,True,Co-founder of MiniMax. Part of founding team from SenseTime ecosystem. Involvement status could not be confirmed.
MiniMax,Zhou Yucong,Co-founder,False,False,False,False,False,False,False,True,Co-founder of MiniMax. Part of founding team from SenseTime ecosystem. Involvement status could not be confirmed.
ElevenLabs,Mati Staniszewski,Co-founder & CEO,False,False,False,False,False,False,False,False,"Polish entrepreneur, age 30. First-Class Honours in Mathematics from Imperial College London. Previously worked at Opera Software (Business Intelligence), BlackRock (Risk Analyst), and Palantir Technologies (Deployment Strategist, 2018-2022). Named to Forbes 30 Under 30 Europe (Technology) 2024 and TIME100 AI 2025. Led ElevenLabs to unicorn status in under 2 years."
